contractingofficeagencyid,dollarsobligated,fiscal_year,mod_parent,piid,productorservicecode,vendorname
DEFENSE LOGISTICS AGENCY,8104.37,2016,MOBIL OIL GUAM INC,0489,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8104.37,2016,CNA CORPORATION,0489,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,18586.14,2016,MOBIL OIL GUAM INC,0488,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,36393.22,2016,MOBIL OIL GUAM INC,0487,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19066.8,2016,MOBIL OIL GUAM INC,0584,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,100845.2,2016,MOBIL OIL GUAM INC,0583,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,100845.2,2016,CNA CORPORATION,0583,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,19066.8,2016,MOBIL OIL GUAM INC,0588,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,27038.4,2016,MOBIL OIL GUAM INC,0587,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,158890,2016,MOBIL OIL GUAM INC,0586,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,47667,2016,MOBIL OIL GUAM INC,0585,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,119952,2016,MOBIL OIL GUAM INC,0589,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,140000,2016,MOBIL OIL GUAM INC,0576,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,140000,2016,CNA CORPORATION,0576,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,19099.2,2016,MOBIL OIL GUAM INC,0575,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19099.2,2016,MOBIL OIL GUAM INC,0579,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,60836.399999999994,2016,MOBIL OIL GUAM INC,0578,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19066.8,2016,MOBIL OIL GUAM INC,0580,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,31832,2016,MOBIL OIL GUAM INC,0577,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19066.8,2016,MOBIL OIL GUAM INC,0582,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,9533.4,2016,MOBIL OIL GUAM INC,0581,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,7688,2016,MOBIL OIL GUAM INC,0556,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,7688,2016,CNA CORPORATION,0556,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,8895,2016,MOBIL OIL GUAM INC,0554,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8895,2016,CNA CORPORATION,0554,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,17790,2016,MOBIL OIL GUAM INC,0552,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,17997.6,2016,MOBIL OIL GUAM INC,0553,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,4097.780000000001,2016,MOBIL OIL GUAM INC,0562,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,18241.2,2016,MOBIL OIL GUAM INC,0558,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,17976,2016,MOBIL OIL GUAM INC,0557,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,18241.2,2016,MOBIL OIL GUAM INC,0555,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,109166.4,2016,MOBIL OIL GUAM INC,0544,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,35023.45999999999,2016,MOBIL OIL GUAM INC,0547,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,7433.619999999999,2016,MOBIL OIL GUAM INC,0546,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,47871,2016,MOBIL OIL GUAM INC,0545,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,4499.4,2016,MOBIL OIL GUAM INC,0550,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8895,2016,MOBIL OIL GUAM INC,0551,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8895,2016,CNA CORPORATION,0551,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,18481.2,2016,MOBIL OIL GUAM INC,0548,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19148.4,2016,MOBIL OIL GUAM INC,0549,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20133.6,2016,MOBIL OIL GUAM INC,0570,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,6251.8,2016,MOBIL OIL GUAM INC,0569,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,7728.82,2016,MOBIL OIL GUAM INC,0567,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,9549.6,2016,MOBIL OIL GUAM INC,0568,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,9549.6,2016,CNA CORPORATION,0568,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,20133.6,2016,MOBIL OIL GUAM INC,0573,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19099.2,2016,MOBIL OIL GUAM INC,0574,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,84175.5,2016,MOBIL OIL GUAM INC,0571,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,23221,2016,MOBIL OIL GUAM INC,0572,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,22470,2016,MOBIL OIL GUAM INC,0560,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,22470,2016,CNA CORPORATION,0560,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,17976,2016,MOBIL OIL GUAM INC,0563,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,10198286.15,2016,DYNCORP INTERNATIONAL LLC,0001,Z1JZ: MAINTENANCE OF MISCELLANEOUS BUILDINGS,DYNCORP INTERNATIONAL LLC
DEFENSE LOGISTICS AGENCY,10198286.15,2016,"CENTERRA GROUP, LLC",0001,Z1JZ: MAINTENANCE OF MISCELLANEOUS BUILDINGS,"CENTERRA GROUP, LLC"
DEFENSE LOGISTICS AGENCY,10198286.15,2016,EXXON MOBIL CORPORATION,0001,Z1JZ: MAINTENANCE OF MISCELLANEOUS BUILDINGS,EXXON MOBIL CORPORATION
DEFENSE LOGISTICS AGENCY,52516,2016,ALCOA INC.,SPE4A716M0165,1560: AIRFRAME STRUCTURAL COMPONENTS,ALCOA INC.
DEFENSE LOGISTICS AGENCY,9304.2,2016,MOBIL OIL GUAM INC,0514,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,9304.2,2016,CNA CORPORATION,0514,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,21033.6,2016,MOBIL OIL GUAM INC,0513,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,21033.6,2016,CNA CORPORATION,0513,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,18590.4,2016,MOBIL OIL GUAM INC,0516,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,10003.8,2016,MOBIL OIL GUAM INC,0515,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,10003.8,2016,CNA CORPORATION,0515,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,18590.4,2016,MOBIL OIL GUAM INC,0518,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20007.6,2016,MOBIL OIL GUAM INC,0517,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,23238,2016,MOBIL OIL GUAM INC,0520,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,23238,2016,CNA CORPORATION,0520,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,4615.419999999998,2016,MOBIL OIL GUAM INC,0522,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8944.27,2016,MOBIL OIL GUAM INC,0521,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8944.27,2016,CNA CORPORATION,0521,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,59162.4,2016,MOBIL OIL GUAM INC,0519,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,59162.4,2016,CNA CORPORATION,0519,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,9295.2,2016,MOBIL OIL GUAM INC,0524,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,9295.2,2016,CNA CORPORATION,0524,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,10003.8,2016,MOBIL OIL GUAM INC,0525,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,10003.8,2016,CNA CORPORATION,0525,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,8003.799999999999,2016,MOBIL OIL GUAM INC,0523,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8003.799999999999,2016,CNA CORPORATION,0523,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,8184,2016,MOBIL OIL GUAM INC,0500,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8184,2016,CNA CORPORATION,0500,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,9548.4,2016,MOBIL OIL GUAM INC,0501,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,9548.4,2016,CNA CORPORATION,0501,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,8184,2016,MOBIL OIL GUAM INC,0502,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8184,2016,CNA CORPORATION,0502,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,8553,2016,MOBIL OIL GUAM INC,0504,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8553,2016,CNA CORPORATION,0504,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,8553,2016,MOBIL OIL GUAM INC,0505,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8553,2016,CNA CORPORATION,0505,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,57510,2016,MOBIL OIL GUAM INC,0506,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,57510,2016,CNA CORPORATION,0506,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,5948.150000000001,2016,MOBIL OIL GUAM INC,0508,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,5948.150000000001,2016,CNA CORPORATION,0508,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,71275,2016,MOBIL OIL GUAM INC,0509,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,71275,2016,CNA CORPORATION,0509,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,21382.5,2016,MOBIL OIL GUAM INC,0507,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,21382.5,2016,CNA CORPORATION,0507,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,10130.4,2016,MOBIL OIL GUAM INC,0510,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,10130.4,2016,CNA CORPORATION,0510,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,10130.4,2016,MOBIL OIL GUAM INC,0512,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,10130.4,2016,CNA CORPORATION,0512,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,9304.2,2016,MOBIL OIL GUAM INC,0511,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,9304.2,2016,CNA CORPORATION,0511,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,-6877.92,2016,MOBIL OIL GUAM INC,0535,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8010.300000000003,2016,MOBIL OIL GUAM INC,0536,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,49638,2016,MOBIL OIL GUAM INC,0534,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,119584.8,2016,MOBIL OIL GUAM INC,0533,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20052,2016,MOBIL OIL GUAM INC,0537,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19930.8,2016,MOBIL OIL GUAM INC,0541,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,77404.8,2016,MOBIL OIL GUAM INC,0539,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,53148.8,2016,MOBIL OIL GUAM INC,0538,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19148.4,2016,MOBIL OIL GUAM INC,0543,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,18481.2,2016,MOBIL OIL GUAM INC,0542,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20052,2016,MOBIL OIL GUAM INC,0540,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20001.6,2016,MOBIL OIL GUAM INC,0528,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,21012.6,2016,MOBIL OIL GUAM INC,0526,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,21012.6,2016,CNA CORPORATION,0526,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,21009.6,2016,MOBIL OIL GUAM INC,0527,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20001.6,2016,MOBIL OIL GUAM INC,0529,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,21009.6,2016,MOBIL OIL GUAM INC,0530,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19855.2,2016,MOBIL OIL GUAM INC,0531,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20217.6,2016,MOBIL OIL GUAM INC,0532,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8988,2016,MOBIL OIL GUAM INC,0565,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,8988,2016,CNA CORPORATION,0565,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEFENSE LOGISTICS AGENCY,18241.2,2016,MOBIL OIL GUAM INC,0564,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,39156,2016,MOBIL OIL GUAM INC,0566,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,107726.4,2016,MOBIL OIL GUAM INC,0559,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,74900,2016,MOBIL OIL GUAM INC,0561,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,74900,2016,CNA CORPORATION,0561,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
"EDUCATION, DEPARTMENT OF",8309583,2016,CNA CORPORATION,EDIES12C0005,U009: EDUCATION/TRAINING- GENERAL,CNA CORPORATION
U.S. COAST GUARD,0,2016,THE MITRE CORPORATION,HSCG2315JMDW050,AJ96: R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (MANAGEMENT/SUPPORT),THE MITRE CORPORATION
MILLENNIUM CHALLENGE CORPORATION,-2557738.89,2016,BOWEN BUILDING LIMITED PARTNERSHIP,MCC040101CFO,X119: LEASE-RENT OF OTHER ADMIN-SVC BLDGS,BOWEN BUILDING LIMITED PARTNERSHIP
DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),0,2016,UNIVERSITY OF TEXAS AT AUSTIN,HE125415C0002,U006: EDUCATION/TRAINING- VOCATIONAL/TECHNICAL,UNIVERSITY OF TEXAS AT AUSTIN
SMITHSONIAN INSTITUTION,7384.74,2016,VORNADO/CHARLES E. SMITH L.P.,F16PO7320000342951,H143: QUALITY CONTROL- PUMPS AND COMPRESSORS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,7360.2,2016,VORNADO/CHARLES E. SMITH L.P.,DJM16A43C0008,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,9871.28,2016,VORNADO/CHARLES E. SMITH L.P.,DJM16A43C0012,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,16920,2016,VORNADO/CHARLES E. SMITH L.P.,DJM16A43C0016,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,16920,2016,VORNADO/CHARLES E. SMITH L.P.,DJM16A43C0023,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,8000,2016,VORNADO/CHARLES E. SMITH L.P.,DJM16A43C0048,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,33600,2016,VORNADO/CHARLES E. SMITH L.P.,DJM16A43C0045,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,22704,2016,VORNADO/CHARLES E. SMITH L.P.,DJM16A43C0044,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,-4160,2016,VORNADO/CHARLES E. SMITH L.P.,DJM15A43C0054,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,-16574,2016,VORNADO/CHARLES E. SMITH L.P.,DJM14A43C0031,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,-10838.4,2016,VORNADO/CHARLES E. SMITH L.P.,DJM14A43C0040,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,0,2016,VORNADO/CHARLES E. SMITH L.P.,DJM14A43C0030,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,14920.64,2016,VORNADO/CHARLES E. SMITH L.P.,DJM16A43C0039,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. FISH AND WILDLIFE SERVICE,10560,2016,VORNADO/CHARLES E. SMITH L.P.,INF16PX00562,S201: HOUSEKEEPING- CUSTODIAL JANITORIAL,VORNADO/CHARLES E. SMITH L.P.
U.S. FISH AND WILDLIFE SERVICE,12852,2016,VORNADO/CHARLES E. SMITH L.P.,INF16PX01741,"N045: INSTALLATION OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",VORNADO/CHARLES E. SMITH L.P.
PUBLIC BUILDINGS SERVICE,-18984,2016,VORNADO/CHARLES E. SMITH L.P.,GS11P14YEP0024,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
PUBLIC BUILDINGS SERVICE,91200,2016,CESC 1730 M STREET LLC,GS11P16YAP7026,5999: MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,CESC 1730 M STREET LLC
DEFENSE LOGISTICS AGENCY,-27176.31,2016,EXXON MOBIL CORPORATION,0426,R799: SUPPORT- MANAGEMENT: OTHER,MOBIL OIL GUAM INC
BUREAU OF THE FISCAL SERVICE,-27176.31,2016,EXXON MOBIL CORPORATION,0426,R799: SUPPORT- MANAGEMENT: OTHER,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,9521.6,2016,EXXON MOBIL CORPORATION,0446,R799: SUPPORT- MANAGEMENT: OTHER,MOBIL OIL GUAM INC
BUREAU OF THE FISCAL SERVICE,9521.6,2016,EXXON MOBIL CORPORATION,0446,R799: SUPPORT- MANAGEMENT: OTHER,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,1525.89,2016,EXXON MOBIL CORPORATION,0482,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,1525.89,2016,EXXON MOBIL CORPORATION,0482,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,94937.75,2016,EXXON MOBIL CORPORATION,0494,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,94937.75,2016,EXXON MOBIL CORPORATION,0494,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,9549.6,2016,EXXON MOBIL CORPORATION,0568,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,9549.6,2016,EXXON MOBIL CORPORATION,0568,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,10198286.15,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),0001,Z1JZ: MAINTENANCE OF MISCELLANEOUS BUILDINGS,DYNCORP INTERNATIONAL LLC
